title,slug,parent_title,parent_slug,image_filename,midjourney_prompt
Event lighting and decor,event-lighting-and-decor,Event hire,event-hire,event-hire-event-lighting-and-decor.png,"Event lighting and decor: Backdrop frame, Bistro lighting, and Festoon lighting in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Audio, music and AV",audio-music-and-av,Event hire,event-hire,event-hire-audio-music-and-av.png,"Audio, music and AV: DJ controller, Karaoke machine, and Lighting bar in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Games and crowd pleasers,games-and-crowd-pleasers,Event hire,event-hire,event-hire-games-and-crowd-pleasers.png,"Games and crowd pleasers: Ball pit, Beer pong table, and Bouncy castle in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Stages and crowd control,stages-and-crowd-control,Event hire,event-hire,event-hire-stages-and-crowd-control.png,"Stages and crowd control: Backstage screen divider, Cable ramp set, and Crowd control fencing in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Wedding extras and finishing touches,wedding-extras-and-finishing-touches,Event hire,event-hire,event-hire-wedding-extras-and-finishing-touches.png,"Wedding extras and finishing touches: Aisle runner, Blanket basket station, and Cake stand set in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Toilet and welfare hire,toilet-and-welfare-hire,Event hire,event-hire,event-hire-toilet-and-welfare-hire.png,"Toilet and welfare hire: Accessible toilet unit, Baby changing station, and Generator for welfare unit in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Linen and table styling,linen-and-table-styling,Event hire,event-hire,event-hire-linen-and-table-styling.png,"Linen and table styling: Bar front drape set, Bud vase collection, and Cake table skirt in the event hire category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Garden,garden,,,garden.png,"Garden: electric electric Petrol Scarifier and aerator. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Lawn care and aeration,lawn-care-and-aeration,Garden,garden,garden-lawn-care-and-aeration.png,"Lawn care and aeration: Broadcast spreader, Cylinder mower, and Drop spreader in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Soil cultivation and tilling,soil-cultivation-and-tilling,Garden,garden,garden-soil-cultivation-and-tilling.png,"Soil cultivation and tilling: Broadfork, Compost shredder, and Garden cultivator in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Groundworks and compaction,groundworks-and-compaction,Garden,garden,garden-groundworks-and-compaction.png,"Groundworks and compaction: Floor saw, Forward plate compactor, and Line marker in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Tree and hedge care,tree-and-hedge-care,Garden,garden,garden-tree-and-hedge-care.png,"Tree and hedge care: Brush cutter, Chainsaw, and Chainsaw sharpening kit in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Log splitting and firewood,log-splitting-and-firewood,Garden,garden,garden-log-splitting-and-firewood.png,"Log splitting and firewood: Firewood processor, Horizontal log splitter, and Kindling splitter in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Digging and site clearance,digging-and-site-clearance,Garden,garden,garden-digging-and-site-clearance.png,"Digging and site clearance: Earth auger, Garden shredder, and Micro digger in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Watering and washdown,watering-and-washdown,Garden,garden,garden-watering-and-washdown.png,"Watering and washdown: electric Fogger mister, Gutter vacuum, and Hot water pressure washer in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Fencing and postwork,fencing-and-postwork,Garden,garden,garden-fencing-and-postwork.png,"Fencing and postwork: Fence stapler, Fence wire tensioner, and Gate hanging kit in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Pruning and orchard tools,pruning-and-orchard-tools,Garden,garden,garden-pruning-and-orchard-tools.png,"Pruning and orchard tools: Anvil lopper, Bypass lopper, and Fruit picker in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Greenhouse and propagation,greenhouse-and-propagation,Garden,garden,garden-greenhouse-and-propagation.png,"Greenhouse and propagation: Capillary matting roll, Compost sieve, and Greenhouse heater in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Pest control and spraying,pest-control-and-spraying,Garden,garden,garden-pest-control-and-spraying.png,"Pest control and spraying: Backpack sprayer, Bird scarer kite, and Fruit cage frame in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Estate maintenance and paddock care,estate-maintenance-and-paddock-care,Garden,garden,garden-estate-maintenance-and-paddock-care.png,"Estate maintenance and paddock care: ATV flail mower, ATV trailer, and Brash drag mat in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Composting and waste handling,composting-and-waste-handling,Garden,garden,garden-composting-and-waste-handling.png,"Composting and waste handling: Bagging chute kit, Branch bundling frame, and Chip collection bag set in the garden category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Sports equipment,sports-equipment,,,sports-equipment.png,"Sports equipment: American football sled, Ball launcher, and Basketball hoop. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Ball sports,ball-sports,Sports equipment,sports-equipment,sports-equipment-ball-sports.png,"Ball sports: American football sled, Ball launcher, and Basketball hoop in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Racquet sports,racquet-sports,Sports equipment,sports-equipment,sports-equipment-racquet-sports.png,"Racquet sports: Badminton net, Ball collection tube, and Ball hopper in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Watersports,watersports,Sports equipment,sports-equipment,sports-equipment-watersports.png,"Watersports: Bodyboard, Canoe, and Dry bag set in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Camping and hiking gear,camping-and-hiking-gear,Sports equipment,sports-equipment,sports-equipment-camping-and-hiking-gear.png,"Camping and hiking gear: Bell tent, Camp kitchen stand, and Camping kit in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Fitness and training,fitness-and-training,Sports equipment,sports-equipment,sports-equipment-fitness-and-training.png,"Fitness and training: Adjustable bench, Agility ladder set, and Barbell set in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Winter sports,winter-sports,Sports equipment,sports-equipment,sports-equipment-winter-sports.png,"Winter sports: Adult skis, Avalanche safety pack, and Heated glove pack in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Cycling and bike gear,cycling-and-bike-gear,Sports equipment,sports-equipment,sports-equipment-cycling-and-bike-gear.png,"Cycling and bike gear: Bike repair stand, Bike wash stand, and Bikepacking bag set in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Recovery and physio gear,recovery-and-physio-gear,Sports equipment,sports-equipment,sports-equipment-recovery-and-physio-gear.png,"Recovery and physio gear: Balance board, Compression boots, and Cupping therapy kit in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Matchday and coaching equipment,matchday-and-coaching-equipment,Sports equipment,sports-equipment,sports-equipment-matchday-and-coaching-equipment.png,"Matchday and coaching equipment: Ball pump station, Coaching cone mega pack, and Corner flags in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Climbing and adventure training,climbing-and-adventure-training,Sports equipment,sports-equipment,sports-equipment-climbing-and-adventure-training.png,"Climbing and adventure training: Adventure race checkpoint flags, Assault course wall module, and Bouldering mat in the sports equipment category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Vehicle and accessories,vehicle-and-accessories,,,vehicle-and-accessories.png,"Vehicle and accessories: electric Bike repair stand, Boot-mounted bike rack, and E-bike rack. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Roof storage and roof racks,roof-storage-and-roof-racks,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-roof-storage-and-roof-racks.png,"Roof storage and roof racks: Awning side carrier, Kayak roof cradle, and Ladder roof rack in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Bike transport,bike-transport,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-bike-transport.png,"Bike transport: Bike repair stand, Boot-mounted bike rack, and E-bike rack in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Trailers and towing,trailers-and-towing,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-trailers-and-towing.png,"Trailers and towing: Box trailer, Caged trailer, and Car transporter trailer in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Travel and utility accessories,travel-and-utility-accessories,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-travel-and-utility-accessories.png,"Travel and utility accessories: Camping table for tailgate use, Dash-mounted phone holder, and Dog guard in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Recovery and workshop gear,recovery-and-workshop-gear,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-recovery-and-workshop-gear.png,"Recovery and workshop gear: electric Axle stands, Battery charger, and Hydraulic trolley jack in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Van and load management,van-and-load-management,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-van-and-load-management.png,"Van and load management: Beacon light bar, Load restraint poles, and Load securing track kit in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Winter and touring accessories,winter-and-touring-accessories,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-winter-and-touring-accessories.png,"Winter and touring accessories: 12v heated blanket, Camping power hook-up lead, and Drive-away awning in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Cleaning and detailing gear,cleaning-and-detailing-gear,Vehicle and accessories,vehicle-and-accessories,vehicle-and-accessories-cleaning-and-detailing-gear.png,"Cleaning and detailing gear: Canopy wash stand, Carpet extractor for vehicles, and Drying blower in the vehicle and accessories category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
DIY and power tools,diy-and-power-tools,,,diy-and-power-tools.png,"DIY and power tools: electric Air blow gun kit, Air hose and reel kit, and Air impact wrench. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Drills and drivers,drills-and-drivers,DIY and power tools,diy-and-power-tools,diy-and-power-tools-drills-and-drivers.png,"Drills and drivers: electric Collated screw gun, Combi drill, and Cordless screwdriver in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Saws and cutting,saws-and-cutting,DIY and power tools,diy-and-power-tools,diy-and-power-tools-saws-and-cutting.png,"Saws and cutting: Bandsaw, Chainsaw mill, and Circular saw in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Sanders,sanders,DIY and power tools,diy-and-power-tools,diy-and-power-tools-sanders.png,"Sanders: electric Air orbital sander, Belt sander, and Cordless random orbital sander in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Nail guns and staplers,nail-guns-and-staplers,DIY and power tools,diy-and-power-tools,diy-and-power-tools-nail-guns-and-staplers.png,"Nail guns and staplers: 16 gauge finish nailer, 18 gauge brad nailer, and 23 gauge pin nailer in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Grinders and metalwork,grinders-and-metalwork,DIY and power tools,diy-and-power-tools,diy-and-power-tools-grinders-and-metalwork.png,"Grinders and metalwork: 4.5 inch angle grinder, 9 inch angle grinder, and Bench grinder in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Site access and support,site-access-and-support,DIY and power tools,diy-and-power-tools,diy-and-power-tools-site-access-and-support.png,"Site access and support: Acro props, Extension ladder, and Hop-up work platform in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Measuring and layout tools,measuring-and-layout-tools,DIY and power tools,diy-and-power-tools,diy-and-power-tools-measuring-and-layout-tools.png,"Measuring and layout tools: Cable detector, Chalk line set, and Cross-line laser in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Routing and woodworking benches,routing-and-woodworking-benches,DIY and power tools,diy-and-power-tools,diy-and-power-tools-routing-and-woodworking-benches.png,"Routing and woodworking benches: electric Biscuit jointer, Domino joiner, and Electric planer in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Fastening and fixings tools,fastening-and-fixings-tools,DIY and power tools,diy-and-power-tools,diy-and-power-tools-fastening-and-fixings-tools.png,"Fastening and fixings tools: electric Battery rivet gun, Bolt cropper, and Cable tie tension tool in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Dust extraction and workshop cleanup,dust-extraction-and-workshop-cleanup,DIY and power tools,diy-and-power-tools,diy-and-power-tools-dust-extraction-and-workshop-cleanup.png,"Dust extraction and workshop cleanup: electric Air filtration unit, Bench sweep vacuum, and Chip extractor in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Air tools and compressors,air-tools-and-compressors,DIY and power tools,diy-and-power-tools,diy-and-power-tools-air-tools-and-compressors.png,"Air tools and compressors: electric Air blow gun kit, Air hose and reel kit, and Air impact wrench in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Masonry, concrete and demolition",masonry-concrete-and-demolition,DIY and power tools,diy-and-power-tools,diy-and-power-tools-masonry-concrete-and-demolition.png,"Masonry, concrete and demolition: electric Block splitter, Breaker, and Compactor plate in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Welding, soldering and heat tools",welding-soldering-and-heat-tools,DIY and power tools,diy-and-power-tools,diy-and-power-tools-welding-soldering-and-heat-tools.png,"Welding, soldering and heat tools: Arc welder, Auto-darkening welding helmet, and Brazing torch set in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Generators and site power,generators-and-site-power,DIY and power tools,diy-and-power-tools,diy-and-power-tools-generators-and-site-power.png,"Generators and site power: electric 110v extension lead, Battery power station, and Cable protector ramp in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Workshop metalworking tools,workshop-metalworking-tools,DIY and power tools,diy-and-power-tools,diy-and-power-tools-workshop-metalworking-tools.png,"Workshop metalworking tools: Arbor press, Bead roller, and Bench grinder in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Lifting and material handling,lifting-and-material-handling,DIY and power tools,diy-and-power-tools,diy-and-power-tools-lifting-and-material-handling.png,"Lifting and material handling: electric Beam trolley, Chain hoist, and Engine crane in the diy and power tools category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Home and furniture,home-and-furniture,,,home-and-furniture.png,"Home and furniture: Bed end bench, Bedside chest pair, and Blanket ladder. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Guest beds and sleepovers,guest-beds-and-sleepovers,Home and furniture,home-and-furniture,home-and-furniture-guest-beds-and-sleepovers.png,"Guest beds and sleepovers: Air bed, Bedside table pair, and Double guest bed in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Dining tables and seating,dining-tables-and-seating,Home and furniture,home-and-furniture,home-and-furniture-dining-tables-and-seating.png,"Dining tables and seating: Bench seating pair, Breakfast bar stools, and Buffet sideboard in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
"Sofas, armchairs and lounge furniture",sofas-armchairs-and-lounge-furniture,Home and furniture,home-and-furniture,home-and-furniture-sofas-armchairs-and-lounge-furniture.png,"Sofas, armchairs and lounge furniture: Armchair, Bean bag lounger, and Coffee table in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Storage and shelving,storage-and-shelving,Home and furniture,home-and-furniture,home-and-furniture-storage-and-shelving.png,"Storage and shelving: Bookcase, Chest of drawers, and Clothes rail in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Office desks and chairs,office-desks-and-chairs,Home and furniture,home-and-furniture,home-and-furniture-office-desks-and-chairs.png,"Office desks and chairs: Corner desk, Desk lamp, and Ergonomic office chair in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Nursery and baby furniture,nursery-and-baby-furniture,Home and furniture,home-and-furniture,home-and-furniture-nursery-and-baby-furniture.png,"Nursery and baby furniture: Baby wardrobe, Changing table, and High chair in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Garden furniture,garden-furniture,Home and furniture,home-and-furniture,home-and-furniture-garden-furniture.png,"Garden furniture: Bistro set, Corner garden lounge set, and Garden storage bench in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Display and retail furniture,display-and-retail-furniture,Home and furniture,home-and-furniture,home-and-furniture-display-and-retail-furniture.png,"Display and retail furniture: Display riser set, Folding changing screen, and Folding display table in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Bedroom storage and dressing,bedroom-storage-and-dressing,Home and furniture,home-and-furniture,home-and-furniture-bedroom-storage-and-dressing.png,"Bedroom storage and dressing: Bed end bench, Bedside chest pair, and Blanket ladder in the home and furniture category. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
Moving and storage,moving-and-storage,,,moving-and-storage.png,"Moving and storage: Appliance roller bars, Appliance slider pads, and Door removal trolley. Product photo with a plain light background, single subject or tight grouped scene, UK 240v mains where relevant, UK plug sockets where relevant, high detail, realistic, soft studio lighting, no text, no logo, no watermark, square composition"
